# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
24 Sex b,Confirmed,1.99,0.38,0.26,1.99,0.38,0.26,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,23/05/2014,9.2,165.4,277.9,2454762,172.3,172.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,4.9,4.9,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098,44,44,,,
24 Sex c,Confirmed,0.86,0.22,0.35,0.86,0.22,0.35,,,,883,14,32,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,23/05/2014,220.5,320.9,182.2,2454930,96.5,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,4.9,4.9,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098,44,44,,,
2M 0103-55 (AB) b,Confirmed,13,1,1,,,,,,,,,,84,,,,,,,,,,2013,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,
2M 0122-24 b,Confirmed,20,7,7,,,,1,0.2,0.2,,,,52,6,6,,,,,,,,2013,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,,,,,,Published in a refereed paper,Imaging,,,,,2M 0122-24,20.7125,-24.6142,,,,,,36,4,4,,,,0.4,0.05,0.05,,,,M3.5,0.12,0.01,0.01,,,,,,
2M 0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156,10,10,,,,,,,,2015,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.84166667,-39.42305557,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064,76,76,,,2MASS J0292210-3925225
2M 0441+23 b,Confirmed,7.5,2.5,2.5,,,,,,,,,,15,0.6,0.6,,,,,,,0.107143,2010,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0441+23,70.4375,23.0308333,,,14.2,13.72,13.16,140,,,,,,0.02,,,,,,M8.5,0.001,,,,,,,,
2M 0746+20 b,Confirmed,30,25,25,,,,0.97,0.06,0.06,4640,25,25,2.897,0.005,0.005,0.487,0.003,0.003,138.2,0.5,0.5,0.237265,2010,20/01/2012,354.4,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0746+20,116.6791667,20.0088889,,,,,,12.21,0.05,0.05,,,,0.12,0.09,0.09,0.089,0.003,0.003,,,,,2205,50,50,,,
2M 1207-39,Confirmed,24,6,6,,,,,,,,,,,,,,,,,,,,2001,09/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,150,150,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J12073346-3932539,,2M 1207-39,181.8875,-39.5483333,20.15,15.95,13,,,52.4,1.1,1.1,,,,0.025,,,,,,M8,0.008,0.003,0.003,,,,,,
2M 1207-39 b,Confirmed,4,1,1,,,,,,,,,,46,5,5,,,,,,,0.877863,2004,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 1207-39,181.8875,-39.5483333,20.15,15.95,13,,,52.4,1.1,1.1,,,,0.025,,,,,,M8,0.008,0.003,0.003,,,,,,
2M 1938+46 b,Confirmed,1.9,0.1,0.1,,,,,,,416,2,2,0.92,0.02,0.02,,,,,,,,2015,06/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,TTV,,Kepler-451 b,,2M  1938+46,294.6375,46.0663889,,,,,,,,,,,,0.6,0.03,0.03,,,,sdB+M,,,,,,,,,Kepler-451
2M 2140+16 b,Confirmed,20,20,80,,,,0.92,0.39,0.39,7340,584,584,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,20/01/2012,223,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25,10,10,,,,0.08,0.06,0.06,0.1,0.043,0.043,,,,,2300,80,80,,,
2M 2206-20 b,Confirmed,30,20,70,,,,1.3,0.18,0.18,8686,69.4,69.4,4.48,0.4,0.4,0,,,44.3,0.7,0.7,0.167979,2010,20/01/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350,80,80,,,
2M 2236+4751 b,Confirmed,12.5,1.5,1.5,,,,,,,,,,230,20,20,,,,,,,3.7,2016,03/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,Published in a refereed paper,Imaging,Spectrum,,,"H2O, CO",2M 2236+4751,339.1041667,47.86194447,12.5,,,,,63,,,,,,0.6,0.05,0.05,,,,K7,0.12,0.01,0.01,,,,,,
2M J2126-81 b,Confirmed,13.3,1.7,1.7,,,,,,,,,,6900,,,,,,,,,,2016,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TYC 9486-927-1,321.3666667,-81.64111113,9,,,,,24.75,4.25,4.25,,,,0.4,,,,,,M2,0.027,0.017,0.017,,,,,,
2M1450-7841 B b,Confirmed,0.04,,,,,,,,,,,,300,,,,,,,,,,2017,05/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M1450-7841 B,222.6708333,-78.69388891,,,,,,75,25,25,,,,0.04,,,,,,,0.04,,,,,,,,
2M1450-7841 b,Confirmed,0.04,,,,,,,,,,,,300,,,,,,,,,,2017,05/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M1450-7841 A,222.675,-78.69472225,,,,,,75,25,25,,,,40,,,,,,,0.04,,,,,,,,
2M2250+2325,Confirmed,30,4,11,,,,,,,,,,518,40,40,,,,,,,,2017,01/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M2250+2325,342.5625,23.42611113,,,,,,41.5,10,10,,,,,,,,,,M3,0.15,,,,,,,,
2MASS J11193254 AB,Confirmed,3.7,0.9,1.2,,,,,,,32850,,,,,,,,,,,,,2017,30/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2MASS J11193254 AB,169.8855958,-11.62963891,,,,,14.62,,,,,,,,,,,,,L7,0.01,0.003,0.003,,,,,,
30 Ari B b,Confirmed,9.88,0.94,0.94,9.88,0.94,0.94,,,,335.1,2.5,2.5,0.995,0.012,0.012,0.289,0.092,0.092,,,,0.025254,2009,27/11/2009,307,18,18,2454538,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,30 Ari B,39.2416667,24.6480556,7.1,,,,,39.4,1.7,1.7,0.12,0.08,0.08,1.22,0.08,0.08,1.23,0.07,0.07,F6V,0.91,0.03,0.03,6484,98,98,,,
38 Vir b,Confirmed,4.51,0.5,0.5,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,20/02/2017,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.2964895,-3.553099291,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.9,0.7,0.6,6557,96,96,,,"HIP 62875, HD 111998"
4 Uma b,Confirmed,7.1,1.6,1.6,7.1,1.6,1.6,,,,269.3,1.96,1.96,0.87,0.04,0.04,0.432,0.024,0.024,,,,0.011083,2007,27/08/2014,23.81,4.42,4.42,2452987.394,4.31,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,4 Uma,130.0541667,64.3280556,5.79,,,,,78.5,1.6,1.6,-0.25,0.04,0.04,1.234,0.15,0.15,,,,K1III,4.604,2,2,4415,70,70,,,
42 Dra b,Confirmed,3.88,0.85,0.85,3.88,0.85,0.85,,,,479.1,6.2,6.2,1.19,0.01,0.01,0.38,0.06,0.06,,,,0.01223,2009,23/03/2009,218.7,10.6,10.6,2452757.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.3,5,5,-0.46,0.05,0.05,0.98,0.05,0.05,22.03,1,1,K1.5III,9.49,1.76,1.76,4200,70,70,,,
47 Uma b,Confirmed,2.53,0.06,0.07,2.53,0.06,0.07,,,,1078,2,2,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,27/08/2014,334,23,23,2451917,76,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
47 Uma c,Confirmed,0.54,0.073,0.066,0.54,0.073,0.066,,,,2391,87,100,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,27/08/2014,295,160,114,2456441,825,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
47 Uma d,Confirmed,1.64,0.48,0.29,1.64,0.48,0.29,,,,14002,5095,4018,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,27/08/2014,110,160,132,2451736,5051,6783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
51 Eri b,Confirmed,9.1,3.3,4.9,,,,1.11,0.13,0.16,14965,4380,12775,14,3,7,0.21,0.15,0.15,138,13,15,,2015,13/04/2017,90,58,58,2452014.79,12,12,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.40055143,-2.473548598,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
51 Peg b,Confirmed,0.47,0.067,0.033,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.73E-05,3.73E-05,0.052,,,0.0069,0.0066,0.0069,80,10,19,0.003537,1995,26/01/2017,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,,,,,14.7,,,0.2,0.07,0.07,1.11,0.06,0.06,1.266,0.046,0.046,G2 IV,4,2.5,2.5,5793,70,70,,,
55 Cnc b,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,11/06/2017,110,54,54,2453035,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc c,Confirmed,0.1784,0.0078,0.0275,0.1784,0.0078,0.0275,,,,44.373,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,0.019473,2002,11/06/2017,356,22,22,2453983,3,3,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc d,Confirmed,3.86,0.15,0.6,3.86,0.15,0.6,,,,4867,26,25,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,0.466775,2002,11/06/2017,254,32,32,2453490,437,437,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc e,Confirmed,0.02547,0.0008105,0.0008944,0.02547,0.00081,0.00082,0.177536225,0.007137135,0.007137135,0.7365478,1.20E-06,1.60E-06,0.015439,1.50E-05,1.50E-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,11/06/2017,170,130,130,2449999.836,0.0001,0.0001,,,,2455962.07,0.0018,0.0018,,,,72.4,12,12,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,"H2O, HCN",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc f,Confirmed,0.1479,0.0093,0.0219,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,11/06/2017,139,8,8,2451878,5,5,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
6 Lyn b,Confirmed,69,66,69,2.4,,,,,,899,19,19,2.2,,,0.134,0.052,0.052,2,1,79,0.038664,2008,27/08/2014,27,27,27,2453309,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.9,2.5,2.5,-0.13,0.02,0.02,1.7,0.2,0.2,5.2,0.3,0.3,K0IV,,,,4978,18,18,,,
61 Vir b,Confirmed,0.016,0.0016,0.0016,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5.00E-06,5.00E-06,0.12,0.11,0.11,,,,0.005892,2009,15/12/2009,105,54,54,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir c,Confirmed,0.0573,0.0035,0.0035,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,15/12/2009,341,38,38,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir d,Confirmed,0.072,0.008,0.008,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,15/12/2009,314,20,20,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
7 CMa b,Confirmed,2.46,0.14,0.14,2.46,0.14,0.14,,,,796,7.4,7.4,1.93,0.01,0.01,0.22,0.07,0.07,,,,0.096203,2011,19/10/2015,77,14,14,2454093,34,34,,,,,,,,,,,,,,,,,,,41.8,2.4,2.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 47205 b,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792,100,100,,,
70 Vir b,Confirmed,6.6,,,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,29/12/2010,2.1,2,2,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,70 Vir,202.1083333,13.7866667,5,,,,,22,,,-0.11,,,0.92,,,1.968,0.047,0.047,G4 V,7.09,,,5432,,,IR Excess,,HR 117176
75 Cet b,Confirmed,3,,,3,,,,,,691.9,3.6,3.6,2.1,,,,,,,,,,2012,03/09/2012,,,,2452213,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,75 Cet,38.0375,-1.035,5.36,,,,,81.5,7.51,7.51,0,0.04,0.04,2.49,0.02,0.27,10.5,1,1,G3III,,,,4846,18,18,,,
8 Umi b,Confirmed,1.5,0.2,0.2,1.5,0.2,0.2,,,,93.4,4.5,4.5,0.49,0.03,0.03,0.06,0.18,0.18,,,,,2015,01/10/2015,91,84.6,84.6,2454108.5,22.8,22.8,,,,,,,,,,,,,,,,,,,46.1,4,4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,8 Umi,224.2,74.90083335,6.83,,,,,159.1,11,11,-0.03,0.02,0.02,1.8,0.1,0.1,9.9,0.4,0.4,K0,1.7,0.2,0.2,4847.4,7.5,7.5,,,
81 Cet b,Confirmed,5.3,,,5.3,,,,,,952.7,8.8,8.8,2.5,,,0.206,0.029,0.029,,,,0.02572,2008,27/08/2014,175,6.9,6.9,2452486,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,81 Cet,39.425,-3.3961111,5.65,,3.94,3.38,3.27,97.2,9.2,9.2,-0.06,0.03,0.03,2.4,0.4,0.4,11,0.1,0.1,G5III,,,,,,,,,
